filename,future,scientists say,The United States
Pope_220.txt,0,0,0
Porter_434.txt,0,0,1
Pravica_315.txt,1,0,0
Proctor_28.txt,2,0,1
Pruden_95.txt,1,0,0
Pyle_179.txt,0,0,1
Rahman_257.txt,0,0,0
Ramanathen_10.txt,0,0,3
Ramsey_144.txt,0,0,0
Randall_275.txt,0,0,0
Redford_26.txt,2,0,0
Reynolds_85.txt,0,0,0
Riccio_342.txt,0,0,0
Ridley_101.txt,2,0,0
Ridley_102.txt,0,0,0
Ridley_98.txt,0,0,0
Robinson_30.txt,0,0,3
Robinson_37.txt,0,0,0
Rodricks_397.txt,1,0,3
Rogers_78.txt,0,0,1
Romano_173.txt,0,0,0
Rose_296.txt,0,0,0
Rose_297.txt,0,0,0
Rosenthall_11.txt,0,0,8
Roy_174.txt,0,0,0
Rudder_371.txt,1,0,4
Sadar_277.txt,0,0,0
Safarian_150.txt,1,0,0
Safer_445.txt,2,0,0
Salazar_374.txt,2,0,0
Samuelson_110.txt,0,0,2
Sandquist_404.txt,1,0,0
Santorum_286.txt,0,0,0
Saunders_79.txt,0,0,0
Schaible_68.txt,0,0,0
Schlund_306.txt,0,0,0
Schrader_149.txt,0,0,0
Schultz_180.txt,1,0,0
Schwarzenegger_43.txt,1,0,0
Scott-Branch_246.txt,0,0,0
Senik_155.txt,0,0,0
Shermer_250.txt,0,0,1
Shorten_406.txt,0,0,0
Siegel_197.txt,0,0,0
Siegel_221.txt,0,0,0
Siegel_222.txt,0,0,0
Siegel_228.txt,0,0,0
Signatories_100.txt,1,0,0
Signatories_97.txt,0,0,0
Singer_99.txt,0,0,0
Sirota_56.txt,1,0,0
Smith_363.txt,1,0,0
Snyder_232.txt,0,0,2
Sperling_184.txt,0,0,0
Speth_389.txt,0,0,1
Sprackland_256.txt,0,0,0
Stadter_291.txt,0,0,0
Staff_106.txt,0,0,0
Staff_83.txt,0,0,0
Staff_84.txt,1,0,0
Stark_288.txt,0,0,0
Stephens_74.txt,0,0,0
Sternberg_331.txt,0,0,0
Swartz_431.txt,0,0,0
Szilard_187.txt,0,0,0
Taylor_75.txt,0,0,0
ThinkTwice_236.txt,0,0,0
Thornton_199.txt,0,0,0
Thorp_249.txt,1,0,0
Titus_185.txt,0,0,0
Totty_337.txt,3,0,0
Tucker_338.txt,1,0,0
Tucker_339.txt,0,0,0
Tulenko_412.txt,0,0,1
Usher_9.txt,1,0,4
Utchen_251.txt,0,0,0
Vancko_425.txt,2,0,0
Vansandt_325.txt,0,0,0
Wallace_298.txt,0,0,0
Wallace_300.txt,0,0,0
Wallace_42.txt,0,0,1
Walsh-Miller_141.txt,0,0,1
Weaver_410.txt,0,0,0
Weaver_411.txt,0,0,1
Weinberg_388.txt,2,0,0
Weinstein_359.txt,1,0,0
Weinstein_409.txt,0,0,0
Werner_422.txt,1,0,0
West_292.txt,0,0,0
Wharton_69.txt,2,0,1
Whitman-Avilla_413.txt,1,0,0
Whitman_387.txt,2,0,1
Whitman_432.txt,1,0,0
Whittman_327.txt,0,0,1
Wilday_167.txt,0,0,0
Will_121.txt,0,0,0
Will_364.txt,0,0,0
Williams_156.txt,0,0,0
Willrich_190.txt,0,0,1
Wuebbles-Tuchman_70.txt,2,0,0
Young_269.txt,0,0,0
Zimmerman_311.txt,0,0,1
